student_id,minutes_watched,years,paid_in_q2
6,67.08,2022,1
389,0.15,2022,1
616,116.02,2022,1
618,238.15,2022,1
666,2.83,2022,1
699,222.35,2022,1
702,1.6,2022,1
838,348.28,2022,1
841,324.75,2022,1
862,166.73,2022,1
875,46.77,2022,1
908,0.92,2022,1
911,39.35,2022,1
917,5.67,2022,1
969,584.6,2022,1
988,144.78,2022,1
999,384.22,2022,1
1016,20.15,2022,1
1019,56.5,2022,1
1046,1406.38,2022,1
1064,66.85,2022,1
1085,82.97,2022,1
1102,271.3,2022,1
1151,206.23,2022,1
1159,30.78,2022,1
1183,46.82,2022,1
1188,13.02,2022,1
1200,329.4,2022,1
1201,7.67,2022,1
1210,4.4,2022,1
1215,3.03,2022,1
1221,227.3,2022,1
1235,35.98,2022,1
1246,528.57,2022,1
1271,3.05,2022,1
1306,735.68,2022,1
1308,0.35,2022,1
1317,21.27,2022,1
1355,18.07,2022,1
1357,0.12,2022,1
1362,13.52,2022,1
1373,45.92,2022,1
1382,0.33,2022,1
1395,98.58,2022,1
1397,27.83,2022,1
1404,29.73,2022,1
1419,63.52,2022,1
1424,0.07,2022,1
1426,17.78,2022,1
1434,23.67,2022,1
1436,0.23,2022,1
1437,47.1,2022,1
1456,0.4,2022,1
1468,88.63,2022,1
1521,776.92,2022,1
1522,125.88,2022,1
1530,4.73,2022,1
1537,19.82,2022,1
1538,1.7,2022,1
1539,0.88,2022,1
1563,5.27,2022,1
1567,365.37,2022,1
1581,285.95,2022,1
1605,25.0,2022,1
1619,1490.73,2022,1
1641,1.87,2022,1
1652,1032.87,2022,1
1661,5.18,2022,1
1669,52.38,2022,1
1678,92.92,2022,1
1688,11.37,2022,1
1742,264.88,2022,1
1753,55.77,2022,1
1754,516.18,2022,1
1778,397.37,2022,1
1780,0.65,2022,1
1794,115.52,2022,1
1802,0.05,2022,1
1845,9.45,2022,1
1852,218.23,2022,1
1863,38.17,2022,1
1864,301.22,2022,1
1866,0.08,2022,1
1880,719.03,2022,1
1909,238.35,2022,1
1914,20.5,2022,1
1923,0.55,2022,1
1950,17.02,2022,1
1977,748.12,2022,1
2003,935.67,2022,1
2014,114.67,2022,1
2018,161.7,2022,1
2019,0.53,2022,1
2022,94.05,2022,1
2055,20.12,2022,1
2060,22.5,2022,1
2070,128.38,2022,1
2073,467.53,2022,1
2084,89.4,2022,1
2091,397.03,2022,1
2110,4.32,2022,1
2112,876.17,2022,1
2114,78.18,2022,1
2185,64.43,2022,1
2188,11.88,2022,1
2195,29.3,2022,1
2217,11.57,2022,1
2218,50.63,2022,1
2222,2.45,2022,1
2236,9.12,2022,1
2248,382.25,2022,1
2255,244.17,2022,1
2258,7.85,2022,1
2266,10.27,2022,1
2274,3.72,2022,1
2284,2.22,2022,1
2292,43.68,2022,1
2295,40.02,2022,1
2324,8.58,2022,1
2359,0.15,2022,1
2377,36.1,2022,1
2385,10.58,2022,1
2398,368.53,2022,1
2409,57.35,2022,1
2417,13.13,2022,1
2431,0.85,2022,1
2495,125.35,2022,1
2506,14.18,2022,1
2534,0.7,2022,1
2546,384.0,2022,1
2555,665.93,2022,1
2591,89.68,2022,1
2620,16.07,2022,1
2629,1.55,2022,1
2636,112.0,2022,1
2663,15.28,2022,1
2688,70.63,2022,1
2702,0.45,2022,1
2723,75.08,2022,1
2725,125.75,2022,1
2731,468.67,2022,1
2734,202.7,2022,1
